step,x,y,theta,v
2.130000000000000000e+02,3.570373448195544341e+01,3.181837475969602735e+01,2.197475318933907129e+00,9.310162653767375396e-01
2.140000000000000000e+02,3.564981516537962136e+01,3.189265526296873432e+01,2.212974267236002213e+00,9.236879604565625401e-01
2.150000000000000000e+02,3.559505818122530485e+01,3.196590866844205081e+01,2.229778826611806597e+00,9.206569838340531442e-01
2.160000000000000000e+02,3.554155338558334876e+01,3.203482172959674301e+01,2.246251094496738432e+00,8.778118138972952345e-01
2.170000000000000000e+02,3.548683674736793137e+01,3.210291000883340473e+01,2.263492711030767435e+00,8.791388552037137094e-01
2.180000000000000000e+02,3.543193238424284175e+01,3.216896889275970040e+01,2.281481413198117369e+00,8.641284247970385524e-01
2.190000000000000000e+02,3.537453330054687228e+01,3.223554989910343949e+01,2.299432747997568693e+00,8.848111408608264616e-01
2.200000000000000000e+02,3.531404023032586537e+01,3.230342750412227559e+01,2.317695058858900037e+00,9.149915706197896403e-01
2.210000000000000000e+02,3.525960790536428391e+01,3.236239555095541220e+01,2.338059778760578578e+00,8.075310068074985637e-01
2.220000000000000000e+02,3.520319378292544599e+01,3.242120942467280287e+01,2.357740026070113348e+00,8.200628870954906890e-01
2.230000000000000000e+02,3.514490667328361440e+01,3.247976974871906464e+01,2.379044558789715769e+00,8.316063806729515617e-01
2.240000000000000000e+02,3.508673908618066406e+01,3.253483885586812363e+01,2.400424949775126660e+00,8.064865341551021860e-01
2.250000000000000000e+02,3.502968779597900095e+01,3.258717032276045700e+01,2.422461157066099435e+00,7.793699864033382108e-01
2.260000000000000000e+02,3.497171905065525266e+01,3.263781228341395746e+01,2.444630097402658020e+00,7.745336276279080057e-01
2.270000000000000000e+02,3.491503780161336579e+01,3.268565786651378602e+01,2.466643382363621573e+00,7.469574780438649197e-01
2.280000000000000000e+02,3.485760685897002986e+01,3.273170592547837288e+01,2.489972757734637110e+00,7.411791356612535964e-01
2.290000000000000000e+02,3.479959557436889384e+01,3.277607964565115140e+01,2.514009033032213569e+00,7.357048330750607379e-01
2.300000000000000000e+02,3.474009027487006307e+01,3.281848629758753333e+01,2.538712240503216311e+00,7.356977143383011120e-01
2.310000000000000000e+02,3.467887191589078810e+01,3.286050829203070123e+01,2.564645595471293227e+00,7.474712574387712971e-01
