step,x,y,theta,v
1.900000000000000000e+02,3.690791962273431182e+01,2.998736749136962842e+01,1.945063261437906865e+00,1.253289444406466391e+00
1.910000000000000000e+02,3.686299240115079812e+01,3.010175010223433034e+01,1.953912040100984404e+00,1.228895313175207171e+00
1.920000000000000000e+02,3.681751642707728678e+01,3.021458531088850918e+01,1.962943023626019690e+00,1.216546280663703961e+00
1.930000000000000000e+02,3.677149888169725500e+01,3.032585529934468838e+01,1.972163320497784644e+00,1.204102355028076499e+00
1.940000000000000000e+02,3.672494703171457076e+01,3.043554249678180668e+01,1.981580333646613346e+00,1.191568546849912202e+00
1.950000000000000000e+02,3.667786822820599468e+01,3.054362958231985559e+01,1.991201772561848715e+00,1.178950032864343855e+00
1.960000000000000000e+02,3.663026990546035933e+01,3.065009948775503901e+01,2.001035665565314758e+00,1.166252163623924920e+00
1.970000000000000000e+02,3.658215957980459621e+01,3.075493540025505723e+01,2.011090372177123609e+00,1.153480471634231286e+00
1.980000000000000000e+02,3.653354484841683814e+01,3.085812076501402856e+01,2.021374595490561532e+00,1.140640679984082029e+00
1.990000000000000000e+02,3.648443338812673176e+01,3.095963928786669328e+01,2.031897394454923234e+00,1.127738711493642354e+00
2.000000000000000000e+02,3.643483295420318768e+01,3.105947493786144520e+01,2.042668195944619569e+00,1.114780698401213854e+00
2.010000000000000000e+02,3.638475137912968904e+01,3.115761194979183202e+01,2.053696806468861880e+00,1.101772992610881019e+00
2.020000000000000000e+02,3.633419657136751368e+01,3.125403482668602351e+01,2.064993423349201773e+00,1.088722176518092555e+00
2.030000000000000000e+02,3.628317651410686295e+01,3.134872834225398819e+01,2.076568645160687954e+00,1.075635074432808702e+00
2.040000000000000000e+02,3.623169926400621677e+01,3.144167754329189535e+01,2.088433481196369179e+00,1.062518764611248834e+00
2.050000000000000000e+02,3.617977294992010684e+01,3.153286775204340131e+01,2.100599359675267230e+00,1.049380591907101312e+00
2.060000000000000000e+02,3.612740577161547861e+01,3.162228456851743985e+01,2.113078134367109229e+00,1.036228181046074059e+00
2.070000000000000000e+02,3.607460599847684790e+01,3.170991387276212592e+01,2.125882089256100560e+00,1.023069450521272739e+00
2.080000000000000000e+02,3.602138196820046545e+01,3.179574182709449204e+01,2.139023940808456370e+00,1.009912627099012861e+00
2.090000000000000000e+02,3.596774208547770257e+01,3.187975487828560262e+01,2.152516837344156553e+00,9.967662609133810525e-01
2.100000000000000000e+02,3.591369482066784968e+01,3.196193975970076195e+01,2.166374354942662173e+00,9.836392411168721761e-01
2.110000000000000000e+02,3.585924870846056933e+01,3.204228349339447846e+01,2.180610489235819571e+00,9.705408120391020299e-01
2.120000000000000000e+02,3.580441234652812454e+01,3.212077339215982619e+01,2.195239642355427456e+00,9.574805897865562576e-01
2.130000000000000000e+02,3.574919439416775901e+01,3.219739706153190895e+01,2.210276604216658392e+00,9.444685791975252487e-01
2.140000000000000000e+02,3.569360357093425051e+01,3.227214240174507864e+01,2.225736527219468908e+00,9.315151910388808076e-01
2.150000000000000000e+02,3.563764865526302117e+01,3.234499760964364157e+01,2.241634893355935354e+00,9.186312593047244457e-01
2.160000000000000000e+02,3.558133848308390412e+01,3.241595118054571145e+01,2.257987472609257473e+00,9.058280584414131198e-01
2.170000000000000000e+02,3.552468194642585075e+01,3.248499191005991804e+01,2.274810271432928577e+00,8.931173202854612025e-01
2.180000000000000000e+02,3.546768799201279165e+01,3.255210889585472955e+01,2.292119470006666049e+00,8.805112504573104903e-01
2.190000000000000000e+02,3.541036561985081477e+01,3.261729153938004089e+01,2.309931346883877357e+00,8.680225439021950207e-01
2.200000000000000000e+02,3.535272388180698755e+01,3.268052954754081441e+01,2.328262189581828068e+00,8.556643992159215228e-01
2.210000000000000000e+02,3.529477188017995815e+01,3.274181293432248907e+01,2.347128189628646222e+00,8.434505313301932095e-01
2.220000000000000000e+02,3.523651876626257717e+01,3.280113202236787373e+01,2.366545320578888223e+00,8.313951820649121416e-01
2.230000000000000000e+02,3.517797373889682433e+01,3.285847744450531138e+01,2.386529197557545334e+00,8.195131279838041571e-01
2.240000000000000000e+02,3.511914604302119614e+01,3.291384014522787993e+01,2.407094917000005996e+00,8.078196849131711321e-01
2.250000000000000000e+02,3.506004496821083194e+01,3.296721138212335234e+01,2.428256875443588481e+00,7.963307084053098395e-01
2.260000000000000000e+02,3.500067984721055581e+01,3.301858272725472432e+01,2.450028566506266881e+00,7.850625893509547426e-01
2.270000000000000000e+02,3.494106005446116114e+01,3.306794606849108220e+01,2.472422355583222764e+00,7.740322438695979024e-01
2.280000000000000000e+02,3.488119500461905176e+01,3.311529361078860489e+01,2.495449232313883936e+00,7.632570965417831976e-01
2.290000000000000000e+02,3.482109415106958039e+01,3.316061787742149392e+01,2.519118541540611655e+00,7.527550559899437443e-01
2.300000000000000000e+02,3.476076698443423396e+01,3.320391171116263962e+01,2.543437694303339658e+00,7.425444817823814159e-01
2.310000000000000000e+02,3.470022303107195683e+01,3.324516827541381048e+01,2.568411861399017670e+00,7.326441416229587666e-01
